@relation 'mushrooms-weka.filters.unsupervised.attribute.Copy-R8,9,19-weka.filters.unsupervised.attribute.OrdinalToNumeric-R24,25-weka.filters.unsupervised.attribute.RenameNominalValues-R26-No:1,t:2,n:0-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1'

@attribute cap-shape {x,b,s,f,k,c}
@attribute cap-surface {s,y,f,g}
@attribute cap-color {n,y,w,g,e,p,b,u,c,r}
@attribute bruises {t,f}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-attachment {f,a}
@attribute gill-spacing {c,w}
@attribute gill-size numeric
@attribute gill-color {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape {e,t}
@attribute stalk-root {e,c,b,r}
@attribute stalk-surface-above-ring {s,f,k,y}
@attribute stalk-surface-below-ring {s,f,y,k}
@attribute stalk-color-above-ring {w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring {w,p,g,b,n,e,y,o,c}
@attribute veil-type {p}
@attribute veil-color {w,n,o,y}
@attribute ring-number {o,t,n}
@attribute ring-type {p,e,l,f,n}
@attribute spore-print-color {k,n,u,h,w,r,o,y,b}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}
@attribute gill-spacing-num numeric
@attribute gill-size-num numeric
@attribute ring-number-num numeric
@attribute class {p,e}

@data
x,s,g,f,n,f,w,3.96506307001808,h,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,g,f,n,f,w,3.19627195980015,k,t,e,s,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,s,w,f,n,f,w,3.15306573291479,n,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
f,s,w,f,n,f,w,3.04124468564093,k,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,n,f,n,f,w,3.26224615944445,h,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
f,f,n,f,n,f,w,4.35175558783838,p,t,e,s,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,n,f,n,f,w,3.8449498540161,p,t,e,f,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,w,f,n,f,w,2.62366301432625,p,t,e,s,f,w,w,p,w,o,e,n,s,g,2,1,1,e
f,s,w,f,n,f,w,3.66348332540451,p,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
f,s,g,f,n,f,w,3.11443201640984,p,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
f,y,n,t,n,f,c,3.13753723922594,w,t,b,s,s,w,g,p,w,o,p,n,v,d,1,1,1,e
x,f,g,f,n,f,w,2.86744251469129,h,t,e,s,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,g,t,n,f,c,3.14597408220431,u,t,b,s,s,w,p,p,w,o,p,k,v,d,1,1,1,e
x,y,n,t,n,f,c,3.39523038686907,p,t,b,s,s,p,w,p,w,o,p,n,v,d,1,1,1,e
f,f,n,t,n,f,c,3.90376770977702,n,t,b,s,s,p,g,p,w,o,p,n,y,d,1,1,1,e
f,y,e,t,n,f,c,4.13391687520786,p,t,b,s,s,p,p,p,w,o,p,k,v,d,1,1,1,e
f,s,g,f,n,f,w,3.58595780882273,h,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,g,t,n,f,c,3.15608859079988,u,t,b,s,s,p,p,p,w,o,p,n,y,d,1,1,1,e
x,y,g,t,n,f,c,4.2307119479451,p,t,b,s,s,g,p,p,w,o,p,k,y,d,1,1,1,e
x,f,g,f,n,f,w,4.52273424511996,p,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
f,f,n,t,n,f,c,3.69836290020073,n,t,b,s,s,g,w,p,w,o,p,k,v,d,1,1,1,e
x,s,w,t,a,f,c,3.68842840703387,n,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,s,w,f,n,f,w,3.34485631008606,h,t,e,s,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,y,y,t,a,f,c,3.58088020645937,g,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,f,g,f,f,f,c,4.00687340318432,h,e,b,k,k,n,b,p,w,o,l,h,y,g,1,1,1,p
f,s,n,f,n,f,w,3.84687251071418,k,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
f,s,w,f,n,f,w,3.37918767787493,p,t,e,f,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,n,t,n,f,c,2.76284422860067,p,t,b,s,s,g,g,p,w,o,p,k,v,d,1,1,1,e
f,s,n,f,n,f,w,3.2498197857342,h,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,n,f,n,f,w,3.64102196661658,h,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
f,f,n,t,n,f,c,2.84770733505913,p,t,b,s,s,p,g,p,w,o,p,n,y,d,1,1,1,e
x,y,w,t,l,f,c,3.52401480200377,k,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
f,f,g,f,n,f,w,3.89294087654699,n,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,y,e,t,n,f,c,2.97434147135575,n,t,b,s,s,w,g,p,w,o,p,n,v,d,1,1,1,e
f,f,w,f,n,f,w,3.1902795014245,n,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,s,g,f,n,f,w,3.62560468032672,p,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,y,n,t,n,f,c,3.60431178453483,n,t,b,s,s,w,p,p,w,o,p,k,v,d,1,1,1,e
x,y,g,t,n,f,c,3.19704260010488,w,t,b,s,s,w,g,p,w,o,p,n,y,d,1,1,1,e
x,f,g,t,n,f,c,3.15616545462326,u,t,b,s,s,g,w,p,w,o,p,k,v,d,1,1,1,e
f,s,w,f,n,f,w,3.68339877400391,n,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,g,t,n,f,c,3.26375176965499,u,t,b,s,s,p,w,p,w,o,p,k,v,d,1,1,1,e
x,f,n,t,n,f,c,3.25404757102502,u,t,b,s,s,g,g,p,w,o,p,n,v,d,1,1,1,e
x,f,e,t,n,f,c,4.09537918501168,w,t,b,s,s,g,w,p,w,o,p,n,v,d,1,1,1,e
x,y,n,t,n,f,c,3.78428852363552,w,t,b,s,s,p,g,p,w,o,p,n,y,d,1,1,1,e
f,f,w,f,n,f,w,3.61395197768644,h,t,e,f,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,y,n,t,n,f,c,3.40558297977951,p,t,b,s,s,p,w,p,w,o,p,k,y,d,1,1,1,e
x,s,g,f,n,f,w,3.59760637854793,n,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,g,f,n,f,w,3.41476749871528,h,t,e,f,s,w,w,p,w,o,e,k,a,g,2,1,1,e
f,f,w,f,n,f,w,3.28529990242905,p,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,y,g,t,n,f,c,3.51674211318118,p,t,b,s,s,w,p,p,w,o,p,k,v,d,1,1,1,e
x,y,e,t,n,f,c,5.18514490819207,p,t,b,s,s,p,g,p,w,o,p,k,v,d,1,1,1,e
f,f,w,f,n,f,w,3.5460966154166,p,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
f,s,g,f,n,f,w,2.83163627865272,h,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,y,g,t,n,f,c,3.13998359636416,w,t,b,s,s,g,p,p,w,o,p,n,v,d,1,1,1,e
f,f,g,t,n,f,c,3.72998825383428,p,t,b,s,s,p,w,p,w,o,p,k,v,d,1,1,1,e
x,f,n,t,n,f,c,3.10334173711793,w,t,b,s,s,g,w,p,w,o,p,k,v,d,1,1,1,e
f,f,e,t,n,f,c,3.67288494699422,n,t,b,s,s,w,p,p,w,o,p,k,v,d,1,1,1,e
x,s,w,f,n,f,w,3.60485704793086,h,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,e,t,n,f,c,3.63211929664656,w,t,b,s,s,w,g,p,w,o,p,n,v,d,1,1,1,e
x,f,n,t,n,f,c,2.91951429221001,p,t,b,s,s,w,p,p,w,o,p,k,v,d,1,1,1,e
x,f,g,t,n,f,c,3.2327831156535,u,t,b,s,s,w,w,p,w,o,p,k,y,d,1,1,1,e
x,f,n,t,n,f,c,3.64838179202087,n,t,b,s,s,p,w,p,w,o,p,n,y,d,1,1,1,e
x,f,e,t,n,f,c,3.24548376056851,w,t,b,s,s,g,g,p,w,o,p,n,v,d,1,1,1,e
x,s,w,f,n,f,w,2.72982305637608,h,t,e,f,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,e,t,n,f,c,4.35642176743871,u,t,b,s,s,g,g,p,w,o,p,n,y,d,1,1,1,e
x,y,n,t,n,f,c,2.64159304153256,w,t,b,s,s,p,p,p,w,o,p,k,v,d,1,1,1,e
x,f,w,f,n,f,w,3.5268835341032,h,t,e,f,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,g,t,n,f,c,3.4234255972577,w,t,b,s,s,p,w,p,w,o,p,n,y,d,1,1,1,e
x,s,g,f,n,f,w,2.45777856531283,n,t,e,s,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,y,e,t,n,f,c,2.58462535375813,w,t,b,s,s,p,g,p,w,o,p,n,y,d,1,1,1,e
x,y,n,t,n,f,c,2.96572005297266,u,t,b,s,s,p,w,p,w,o,p,n,v,d,1,1,1,e
x,s,w,f,n,f,w,3.14151932625728,p,t,e,f,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,n,f,n,f,w,3.76901739989604,n,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,w,f,n,f,w,2.83009080526223,n,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,s,n,f,n,f,w,3.69704747291358,n,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
f,f,e,t,n,f,c,2.69747070106088,n,t,b,s,s,p,g,p,w,o,p,n,y,d,1,1,1,e
f,f,w,f,n,f,w,3.89094309899763,n,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
f,f,g,f,n,f,w,3.72878766107777,k,t,e,s,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,y,e,t,n,f,c,4.09570573108737,w,t,b,s,s,g,g,p,w,o,p,n,v,d,1,1,1,e
x,f,e,t,n,f,c,4.10613315953374,p,t,b,s,s,p,w,p,w,o,p,n,y,d,1,1,1,e
x,y,g,t,n,f,c,3.14985799841607,u,t,b,s,s,w,w,p,w,o,p,n,v,d,1,1,1,e
x,f,e,t,n,f,c,3.48551875595563,p,t,b,s,s,w,g,p,w,o,p,k,y,d,1,1,1,e
f,s,n,f,n,f,w,3.91006092049684,h,t,e,s,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,s,w,f,n,f,w,3.59911833060149,n,t,e,s,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,w,f,n,f,w,4.0543772123254,h,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,w,f,n,f,w,3.66540472629972,k,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,e,t,n,f,c,3.1486039520073,u,t,b,s,s,g,p,p,w,o,p,n,v,d,1,1,1,e
x,f,n,t,n,f,c,3.97938653736891,u,t,b,s,s,g,g,p,w,o,p,n,y,d,1,1,1,e
f,f,n,t,n,f,c,2.79654351588759,w,t,b,s,s,g,p,p,w,o,p,k,v,d,1,1,1,e
f,f,w,f,n,f,w,3.89140116553524,k,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
f,f,g,t,n,f,c,4.1323553451437,n,t,b,s,s,g,g,p,w,o,p,k,v,d,1,1,1,e
x,f,n,t,n,f,c,3.52219363963649,w,t,b,s,s,w,g,p,w,o,p,n,v,d,1,1,1,e
x,s,w,f,n,f,w,3.21128338837842,k,t,e,f,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,w,f,n,f,w,4.31839198803298,h,t,e,f,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,s,n,f,n,f,w,4.27933791840877,h,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,n,f,n,f,w,3.20480759652314,n,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,s,g,f,n,f,w,3.90955037358256,h,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,y,n,t,n,f,c,2.74440963056384,w,t,b,s,s,g,g,p,w,o,p,n,v,d,1,1,1,e
x,f,n,t,n,f,c,3.63222169844432,u,t,b,s,s,p,p,p,w,o,p,n,y,d,1,1,1,e
f,s,g,f,n,f,w,4.30694124878635,k,t,e,f,f,w,w,p,w,o,e,n,s,g,2,1,1,e
f,s,n,f,n,f,w,3.43572193829018,n,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,g,f,n,f,w,3.72858555788374,p,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
f,f,g,t,n,f,c,3.52787330646557,n,t,b,s,s,p,w,p,w,o,p,k,y,d,1,1,1,e
x,s,w,f,n,f,w,3.77819618188667,h,t,e,f,f,w,w,p,w,o,e,n,a,g,2,1,1,e
f,f,n,f,n,f,w,3.73303358757737,k,t,e,s,f,w,w,p,w,o,e,n,a,g,2,1,1,e
f,s,w,f,n,f,w,2.99934225896629,h,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,g,f,n,f,w,3.03363849206121,k,t,e,s,s,w,w,p,w,o,e,n,s,g,2,1,1,e
f,f,n,f,n,f,w,3.86277072179049,k,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
f,f,n,f,n,f,w,3.58801470190632,p,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,n,t,n,f,c,3.0535068910263,w,t,b,s,s,w,p,p,w,o,p,n,v,d,1,1,1,e
f,s,g,f,n,f,w,3.23360338049425,h,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
f,s,w,f,n,f,w,3.20203288475558,n,t,e,f,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,y,e,t,n,f,c,3.94944357298946,p,t,b,s,s,g,w,p,w,o,p,k,v,d,1,1,1,e
x,y,g,t,n,f,c,4.1417756971596,u,t,b,s,s,g,g,p,w,o,p,k,v,d,1,1,1,e
x,y,e,t,n,f,c,2.7954889833937,n,t,b,s,s,g,p,p,w,o,p,k,v,d,1,1,1,e
x,f,g,f,n,f,w,2.55248846651303,h,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
f,f,g,f,n,f,w,3.72215567560647,p,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
f,y,y,t,l,f,c,3.83678374926232,p,e,r,s,y,w,w,p,w,o,p,n,y,g,1,1,1,e
f,s,n,f,n,f,w,3.2404118678888,h,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
f,f,n,f,n,f,w,3.55908189474746,k,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
f,f,n,t,n,f,c,3.8332061196314,p,t,b,s,s,g,w,p,w,o,p,k,v,d,1,1,1,e
x,f,e,t,n,f,c,3.23120417299044,u,t,b,s,s,g,w,p,w,o,p,k,y,d,1,1,1,e
f,f,g,f,n,f,w,3.55938610738464,p,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,n,f,n,f,w,3.64636575513167,n,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,g,f,n,f,w,3.7901777498781,h,t,e,f,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,y,e,t,n,f,c,4.10970175550509,w,t,b,s,s,g,w,p,w,o,p,n,v,d,1,1,1,e
f,f,n,t,n,f,c,3.47406769451135,w,t,b,s,s,g,w,p,w,o,p,k,v,d,1,1,1,e
x,f,n,f,n,f,w,3.85386165634861,p,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,n,f,n,f,w,4.12961860597792,p,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
f,s,w,f,n,f,w,3.39668806744443,h,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
f,s,g,f,n,f,w,2.85983315723573,p,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
b,s,w,t,a,f,c,4.02651568302849,k,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,f,n,t,n,f,c,3.69753361353987,w,t,b,s,s,g,w,p,w,o,p,n,v,d,1,1,1,e
f,f,g,f,n,f,w,3.59537163517332,k,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,n,f,n,f,w,3.77956984428109,k,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,s,n,f,n,f,w,3.40254931720084,k,t,e,s,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,w,f,n,f,w,3.60373005845942,h,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,s,w,f,n,f,w,4.2876145205154,h,t,e,f,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,g,f,n,f,w,3.39939171126038,k,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,y,e,t,n,f,c,2.82255959683096,p,t,b,s,s,w,p,p,w,o,p,k,v,d,1,1,1,e
f,f,n,t,n,f,c,3.21420253507878,n,t,b,s,s,g,p,p,w,o,p,k,v,d,1,1,1,e
x,f,n,t,n,f,c,3.96882384793691,n,t,b,s,s,w,w,p,w,o,p,k,v,d,1,1,1,e
f,f,w,f,n,f,w,4.37439990550995,k,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
f,s,n,f,n,f,w,3.60699164416207,n,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
f,f,n,f,n,f,w,3.81028692598041,p,t,e,f,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,y,g,t,n,f,c,3.2831760976095,w,t,b,s,s,g,g,p,w,o,p,n,y,d,1,1,1,e
x,y,g,t,n,f,c,3.70737142675326,n,t,b,s,s,g,g,p,w,o,p,n,v,d,1,1,1,e
x,f,g,f,n,f,w,3.19387435580688,p,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,g,t,n,f,c,2.85853768623693,w,t,b,s,s,p,p,p,w,o,p,n,v,d,1,1,1,e
x,y,e,t,n,f,c,3.09125718536163,u,t,b,s,s,p,p,p,w,o,p,n,v,d,1,1,1,e
x,f,g,t,n,f,c,3.22302501114427,p,t,b,s,s,g,p,p,w,o,p,k,y,d,1,1,1,e
x,f,g,t,n,f,c,3.35584447614455,u,t,b,s,s,p,w,p,w,o,p,n,v,d,1,1,1,e
x,f,n,t,n,f,c,3.24788505469157,p,t,b,s,s,p,g,p,w,o,p,k,v,d,1,1,1,e
x,f,n,f,n,f,w,3.8130650715639,k,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,y,n,t,n,f,c,2.31141117980953,w,t,b,s,s,p,p,p,w,o,p,n,v,d,1,1,1,e
x,f,g,t,n,f,c,2.78658345138638,p,t,b,s,s,w,g,p,w,o,p,n,y,d,1,1,1,e
x,f,g,t,n,f,c,4.71904872083581,u,t,b,s,s,w,g,p,w,o,p,k,y,d,1,1,1,e
x,f,g,f,n,f,w,3.66742036193085,h,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,e,t,n,f,c,2.84392247380222,u,t,b,s,s,g,g,p,w,o,p,k,v,d,1,1,1,e
f,f,n,f,n,f,w,3.23183440805163,k,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
f,s,w,f,n,f,w,4.32459237980198,h,t,e,f,f,w,w,p,w,o,e,n,a,g,2,1,1,e
f,s,n,f,n,f,w,3.31202892909927,p,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,y,e,t,n,f,c,4.24283811268817,w,t,b,s,s,w,g,p,w,o,p,n,v,d,1,1,1,e
f,s,n,f,n,f,w,3.26187875277894,k,t,e,f,f,w,w,p,w,o,e,k,s,g,2,1,1,e
f,f,n,t,n,f,c,2.7917045598549,n,t,b,s,s,p,p,p,w,o,p,n,v,d,1,1,1,e
f,s,w,f,n,f,w,3.74446988401742,h,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,n,f,n,f,w,3.6814568836068,k,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
f,f,n,f,n,f,w,3.2453405688527,h,t,e,s,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,n,t,n,f,c,3.93830133316552,p,t,b,s,s,w,w,p,w,o,p,k,y,d,1,1,1,e
f,s,n,f,n,f,w,3.46557378065981,k,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,n,t,n,f,c,3.34734729654446,n,t,b,s,s,p,g,p,w,o,p,n,v,d,1,1,1,e
x,f,g,t,n,f,c,3.73644243436246,u,t,b,s,s,w,p,p,w,o,p,n,y,d,1,1,1,e
f,f,n,f,n,f,w,3.87163328652633,p,t,e,f,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,e,t,n,f,c,4.09168151966311,p,t,b,s,s,g,g,p,w,o,p,k,v,d,1,1,1,e
f,f,w,f,n,f,w,3.33781165779356,p,t,e,s,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,w,f,n,f,w,4.49198990192506,h,t,e,f,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,y,w,t,l,f,c,4.39376646243872,k,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,s,w,f,n,f,w,3.0376171396197,p,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,y,g,t,n,f,c,3.48875447747075,u,t,b,s,s,p,g,p,w,o,p,n,v,d,1,1,1,e
x,f,g,t,n,f,c,3.18482061333385,n,t,b,s,s,g,w,p,w,o,p,k,y,d,1,1,1,e
x,s,g,f,n,f,w,3.72673312008956,n,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,e,t,n,f,c,2.84730398433869,w,t,b,s,s,w,p,p,w,o,p,n,v,d,1,1,1,e
x,f,g,t,n,f,c,3.32548022640669,p,t,b,s,s,p,p,p,w,o,p,n,v,d,1,1,1,e
f,s,n,f,n,f,w,3.18194127355364,h,t,e,s,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,g,t,n,f,c,3.4848498362634,p,t,b,s,s,g,w,p,w,o,p,n,y,d,1,1,1,e
x,f,n,f,n,f,w,4.01837416785047,h,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,n,t,n,f,c,3.11198130618162,w,t,b,s,s,p,g,p,w,o,p,n,y,d,1,1,1,e
f,s,n,f,n,f,w,3.86366893961786,p,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
f,f,n,f,n,f,w,3.15458224203703,p,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,n,f,n,f,w,4.1476748550158,k,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,n,f,n,f,w,4.07486301908777,k,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,n,t,n,f,c,3.30344478073218,w,t,b,s,s,g,g,p,w,o,p,n,v,d,1,1,1,e
x,y,e,t,n,f,c,2.9477875106546,u,t,b,s,s,g,w,p,w,o,p,n,v,d,1,1,1,e
f,s,n,f,n,f,w,2.879815628012,k,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,n,t,n,f,c,3.35302556071329,w,t,b,s,s,g,g,p,w,o,p,k,y,d,1,1,1,e
x,y,y,t,l,f,c,4.28957230042229,n,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
f,f,w,f,n,f,w,3.70081051097563,h,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
f,f,n,f,n,f,w,3.60966907816302,n,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,n,f,n,f,w,3.6786323061718,k,t,e,f,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,n,f,n,f,w,3.88065942537816,n,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,e,t,n,f,c,3.60693381373976,u,t,b,s,s,g,w,p,w,o,p,k,v,d,1,1,1,e
f,f,n,f,n,f,w,2.95520864605806,k,t,e,s,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,w,f,n,f,w,2.93997967359227,k,t,e,s,s,w,w,p,w,o,e,n,s,g,2,1,1,e
f,s,g,f,n,f,w,3.17231061528908,p,t,e,f,s,w,w,p,w,o,e,n,a,g,2,1,1,e
f,f,w,f,n,f,w,4.45129648370253,h,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
f,f,n,f,n,f,w,3.62564116839694,p,t,e,s,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,f,n,t,n,f,c,2.89565163039744,u,t,b,s,s,w,w,p,w,o,p,n,y,d,1,1,1,e
x,y,g,t,n,f,c,3.31665806873267,n,t,b,s,s,g,p,p,w,o,p,k,y,d,1,1,1,e
x,f,n,t,n,f,c,3.99212137284601,u,t,b,s,s,w,g,p,w,o,p,n,y,d,1,1,1,e
x,f,n,f,n,f,w,3.67522372958413,k,t,e,s,f,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,g,t,n,f,c,3.05996733284231,u,t,b,s,s,w,w,p,w,o,p,n,y,d,1,1,1,e
x,f,n,t,n,f,c,4.37293831083462,n,t,b,s,s,p,p,p,w,o,p,k,v,d,1,1,1,e
x,f,g,f,n,f,w,3.89459517110485,p,t,e,f,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,f,n,t,n,f,c,3.70139421387104,n,t,b,s,s,w,p,p,w,o,p,n,v,d,1,1,1,e
x,s,n,f,n,f,w,2.71272268936017,h,t,e,f,f,w,w,p,w,o,e,k,a,g,2,1,1,e
b,y,w,t,l,f,c,3.32866110568637,k,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
x,y,e,t,n,f,c,3.79166000127547,u,t,b,s,s,w,p,p,w,o,p,k,v,d,1,1,1,e
f,s,n,f,n,f,w,3.18743119281278,h,t,e,s,f,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,e,t,n,f,c,3.52314103079577,w,t,b,s,s,p,p,p,w,o,p,k,y,d,1,1,1,e
f,y,n,t,n,f,c,3.95056336994146,p,t,b,s,s,g,g,p,w,o,p,k,y,d,1,1,1,e
x,y,g,t,n,f,c,3.26903849042786,u,t,b,s,s,p,g,p,w,o,p,k,v,d,1,1,1,e
x,s,g,f,n,f,w,3.62541820525605,p,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,s,n,f,n,f,w,3.5377785486185,k,t,e,f,s,w,w,p,w,o,e,k,s,g,2,1,1,e
x,f,g,f,n,f,w,2.82544429897684,p,t,e,f,f,w,w,p,w,o,e,n,a,g,2,1,1,e
x,s,g,f,n,f,w,3.77314495455812,n,t,e,s,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,y,e,t,n,f,c,3.98327575654036,w,t,b,s,s,w,p,p,w,o,p,k,y,d,1,1,1,e
f,f,g,t,n,f,c,3.96506402277748,w,t,b,s,s,p,w,p,w,o,p,n,y,d,1,1,1,e
f,f,n,t,n,f,c,3.44142224750456,n,t,b,s,s,p,w,p,w,o,p,k,y,d,1,1,1,e
